trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,0,1,1,0,1,0,0.367823,0.35055,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c011_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,0,0,1,0,0.367983,0.351511,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c034_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,1,0,0,1,0.368591,0.353472,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c020_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,1,0,1,0,1,0.368598,0.349393,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c045_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,1,0,0,1,0.368611,0.351882,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c008_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,0,0,1,0.368753,0.350852,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c001_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,0,1,1,1,0.368796,0.351916,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c036_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,1,0,1,1,0.369063,0.352822,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c029_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,0,0,0.369194,0.351794,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c021_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,0,0,1,0,1,0.36927,0.352524,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c039_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
