trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,1,1,1,0,1,1,0.368870,0.352479,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c023_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,1,0,1,0,0.366209,0.350561,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c023_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,1,1,0.369686,0.350769,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c024_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,1,0,0.366336,0.348478,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c024_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,0,0,1,0.367000,0.348356,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c025_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,0,0,0,0.366383,0.348798,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c025_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,1,0,0,1,0.373285,0.357052,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c026_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,1,0,0,0,0.370671,0.354117,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c026_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,1,0,1,0.370057,0.354357,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c027_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,1,0,0,0.369758,0.354294,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c027_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
