step,w0,w1,w2,w3,w4,w5,w6
142,0.09258347,0.27525225,0.23038414,0.07398611,0.20111799,0.12667608,0.0
143,0.2914324,0.06260925,0.2689016,0.21094769,0.06936081,0.09674821,0.0
144,0.07125037,0.2920543,0.05943,0.19272755,0.27016774,0.11437005,0.0
145,0.1032439,0.18658376,0.3767024,0.11367826,0.06478222,0.15500942,0.0
146,0.16033502,0.26978534,0.26928622,0.09074546,0.09635411,0.11349382,0.0
147,0.39673272,0.16804239,0.06785811,0.19015443,0.07298698,0.10422534,0.0
148,0.3456752,0.16673194,0.23687144,0.11710157,0.07859918,0.05502069,0.0
149,0.10730374,0.17382148,0.26241216,0.20690905,0.17895627,0.07059734,0.0
150,0.09734844,0.11675901,0.23975806,0.1389759,0.23029707,0.17686152,0.0
151,0.1899243,0.11485174,0.08628257,0.3711454,0.11969302,0.118103,0.0
152,0.35343406,0.05084543,0.21239717,0.16505556,0.10533433,0.11293345,0.0
153,0.17877226,0.177493,0.11835299,0.21426265,0.14512014,0.165999,0.0
154,0.05235647,0.23153459,0.21397255,0.04933982,0.12853771,0.3242589,0.0
155,0.10803684,0.15962878,0.14879476,0.14667876,0.22559157,0.21126932,0.0
156,0.10058174,0.24289694,0.1603046,0.16320556,0.13129142,0.20171985,0.0
157,0.15675962,0.07264737,0.12848851,0.2525721,0.1393378,0.2501946,0.0
158,0.0638418,0.11497846,0.11339982,0.06088409,0.34945607,0.29743975,0.0
159,0.25187048,0.19018449,0.15945837,0.11979861,0.12212741,0.15656072,0.0
160,0.27744028,0.09677614,0.27010274,0.15746856,0.07125528,0.12695694,0.0
161,0.2162675,0.06629755,0.27037162,0.08370488,0.29956657,0.06379189,0.0
162,0.07170508,0.05536639,0.16828278,0.3369433,0.27877152,0.08893092,0.0
163,0.07773118,0.15911448,0.29611742,0.15316635,0.05642915,0.2574414,0.0
164,0.22343244,0.11711204,0.09433036,0.08787243,0.2262936,0.2509591,0.0
165,0.13948835,0.11667567,0.06104222,0.26770487,0.20971538,0.2053735,0.0
166,0.13952266,0.25271496,0.11066206,0.14626071,0.21290992,0.13792971,0.0
167,0.12871681,0.17137106,0.38934675,0.0985252,0.08398939,0.12805085,0.0
168,0.05731447,0.17197908,0.05648793,0.29911116,0.12191588,0.2931914,0.0
169,0.12858714,0.18037243,0.24591869,0.07489675,0.1264639,0.24376102,0.0
170,0.14312118,0.2120776,0.25092834,0.11461855,0.08120749,0.19804676,0.0
171,0.14271826,0.0616872,0.20484632,0.17387445,0.15383872,0.2630351,0.0
172,0.40687624,0.10529643,0.10590561,0.17675383,0.08330765,0.12186018,0.0
173,0.1003665,0.08287761,0.28940764,0.14434381,0.12511845,0.25788593,0.0
174,0.06340506,0.2368621,0.0586237,0.34619185,0.08864178,0.20627557,0.0
175,0.23025458,0.27799103,0.19690889,0.05462813,0.16231908,0.07789823,0.0
176,0.12677671,0.13110417,0.10939748,0.1611332,0.10415882,0.3674296,0.0
177,0.1933094,0.30814788,0.17613769,0.16687763,0.08629218,0.06923527,0.0
178,0.24515487,0.07452855,0.0987839,0.18093571,0.31842226,0.08217466,0.0
179,0.25229877,0.21737392,0.08983323,0.07903065,0.14602186,0.21544164,0.0
180,0.12512574,0.08525672,0.0561491,0.3232869,0.28333908,0.12684242,0.0
181,0.21055523,0.15043542,0.06957406,0.10400663,0.25996006,0.20546858,0.0
182,0.12551112,0.16109465,0.10643441,0.2843577,0.22215489,0.10044722,0.0
183,0.23490016,0.2323606,0.18276857,0.17451456,0.08722807,0.08822808,0.0
184,0.04032149,0.20174994,0.1517293,0.22559701,0.21371254,0.16688976,0.0
185,0.06873477,0.08279074,0.1677889,0.05287861,0.27629438,0.35151267,0.0
186,0.21287191,0.22747876,0.2562967,0.08144902,0.14323713,0.07866645,0.0
187,0.08332767,0.08476932,0.2528154,0.3168789,0.17483152,0.08737721,0.0
188,0.18167949,0.2972452,0.15621205,0.21291035,0.06840192,0.08355097,0.0
