# Baseline 算法汇总（7 groups，含 GDSF）

使用 docs/20260423-ablation-per-group/cmaes版本LOH-autocompound-cache0001-autocompound-cache0001 的表2/表3(best_LOH) 与 表4/表5(baseline) 生成。

**best_LOH 策略**: 各 group 文档表2/表3中 best_LOH 列（20260422 auto_compound 全局最优选取）。

## 数据来源清单

- best_LOH MR: 各 group 文档表2的 best_LOH 列
- best_LOH BMR: 各 group 文档表3的 best_LOH 列
- 其他算法 MR: 各 group 文档表4（不含 best_LOH 列）
- 其他算法 BMR: 各 group 文档表5（不含 best_LOH 列）
- 加权类指标: 各 group 文档表1 的 n_req 加权

## MR 平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
| cloudphysics | 106 | 0.032382 | 0.025787 | 0.076506 | 0.060873 | 0.000000 | 0.013455 | 0.049205 | 0.034008 | 0.110289 | 0.047089 | 0.046072 | 0.040802 |
| metaCDN | 3 | 0.006181 | 0.001289 | 0.008637 | 0.013512 | 0.000000 | 0.000212 | 0.003203 | 0.002123 | 0.283968 | 0.008911 | 0.003508 | 0.019387 |
| metaKV | 5 | 0.022292 | 0.004280 | 0.038939 | 0.183065 | 0.000000 | 0.009420 | 0.019418 | 0.019096 | 0.017374 | 0.028572 | 0.028363 | 0.041642 |
| tencentBlock | 4755 | 0.050514 | 0.045756 | 0.201382 | 0.231808 | 0.000000 | 0.027746 | 0.185949 | 0.084431 | 0.617064 | 0.072349 | 0.073066 | 0.086930 |
| tencentPhoto | 2 | 0.000141 | 0.000526 | 0.007749 | 0.001085 | 0.000000 | 0.000796 | 0.001267 | 0.000782 | 0.003440 | 0.000801 | 0.000852 | 0.002500 |
| wiki | 3 | 0.043675 | 0.001046 | 0.049036 | 0.029802 | 0.000000 | 0.002291 | 0.001284 | 0.005478 | 0.011046 | 0.002701 | 0.002431 | 0.008281 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.030119 | 0.017600 | 0.070589 | 0.177045 | 0.000000 | 0.012043 | 0.105634 | 0.029304 | 0.273326 | 0.031976 | 0.030821 | 0.039761 |

## MR 按请求数加权相对 LRU 比例 (weighted avg of per-trace algo/LRU)
