file,trace,dataset,cache_size_mib,loh_mr,loh_bmr,loh_mr_runtime,loh_bmr_runtime,baseline_best_mr,baseline_best_mr_algo,baseline_best_bmr,baseline_best_bmr_algo,mr_gain_vs_best,bmr_gain_vs_best,matched_algo_count
ab_alibabaBlock_973.cachesim,alibabaBlock_973,alibabaBlock,5.0,0.984459,0.998482,0.1,0.1,0.9,LHD,0.9967,GDSF,-0.09384333333333328,-0.0017879000702317148,12
ab_alibabaBlock_974.cachesim,alibabaBlock_974,alibabaBlock,2.0,0.768998,0.972021,0.3,1.0,0.7665,GDSF,0.9723,ARC,-0.0032589693411611224,0.0002869484726936431,12
ab_alibabaBlock_975.cachesim,alibabaBlock_975,alibabaBlock,2.0,0.846174,0.98564,0.3,0.8,0.8508,GDSF,0.986,GDSF,0.005437235543018358,0.0003651115618661531,12
ab_alibabaBlock_976.cachesim,alibabaBlock_976,alibabaBlock,2.0,0.843969,0.983311,0.3,0.8,0.8337,GDSF,0.9832,GDSF,-0.012317380352644803,-0.00011289666395451918,12
ab_alibabaBlock_977.cachesim,alibabaBlock_977,alibabaBlock,2.0,0.832729,0.983256,0.3,0.5,0.8305,GDSF,0.9835,GDSF,-0.0026839253461770456,0.0002480935434672313,12
ab_alibabaBlock_978.cachesim,alibabaBlock_978,alibabaBlock,2.0,0.811013,0.979295,0.3,0.9,0.8093,GDSF,0.9795,GDSF,-0.002116644013344822,0.00020929045431343615,12
ab_alibabaBlock_979.cachesim,alibabaBlock_979,alibabaBlock,0.0048828125,0.996132,0.998886,0.0,0.0,0.9936,Cacheus,0.9816,Cacheus,-0.0025483091787439397,-0.017610024449877776,12
ab_alibabaBlock_98.cachesim,alibabaBlock_98,alibabaBlock,2.0,0.27147,0.73868,7.7,12.9,0.2728,GDSF,0.7351,WTinyLFU-w0.01-SLRU,0.004875366568914948,-0.004870085702625531,12
ab_alibabaBlock_980.cachesim,alibabaBlock_980,alibabaBlock,0.0048828125,0.995487,0.998441,0.0,0.0,0.9936,Cacheus,0.9816,Cacheus,-0.0018991545893719524,-0.017156682966585162,12
ab_alibabaBlock_981.cachesim,alibabaBlock_981,alibabaBlock,2.0,0.787464,0.969728,0.3,0.7,0.7847,GDSF,0.9695,ARC,-0.00352236523512183,-0.0002351727694688045,12
ab_alibabaBlock_982.cachesim,alibabaBlock_982,alibabaBlock,17.0,0.837699,0.999476,0.7,0.9,0.8266,LHD,0.9957,LHD,-0.013427292523590576,-0.0037923069197549476,12
ab_alibabaBlock_983.cachesim,alibabaBlock_983,alibabaBlock,11.0,0.81818,0.994604,0.4,0.8,0.8132,GDSF,0.9933,LHD,-0.006123954746679764,-0.001312795731400466,12
ab_alibabaBlock_984.cachesim,alibabaBlock_984,alibabaBlock,1.0,0.847147,0.968305,0.2,0.7,0.8304,GDSF,0.9687,ARC,-0.020167389210019215,0.0004077629813152,12
ab_alibabaBlock_985.cachesim,alibabaBlock_985,alibabaBlock,0.998046875,0.854249,0.966109,0.2,0.8,0.8387,WTinyLFU-w0.01-SLRU,0.9647,WTinyLFU-w0.01-SLRU,-0.01853940622391801,-0.001460557686327349,12
ab_alibabaBlock_986.cachesim,alibabaBlock_986,alibabaBlock,2.0,0.839963,0.98114,0.3,0.6,0.8224,GDSF,0.981,ARC,-0.021355787937743183,-0.0001427115188583374,12
ab_alibabaBlock_987.cachesim,alibabaBlock_987,alibabaBlock,4.0,0.909169,0.995577,0.1,0.1,0.9034,LHD,0.995,LHD,-0.00638587558113795,-0.0005798994974874871,12
ab_alibabaBlock_988.cachesim,alibabaBlock_988,alibabaBlock,2.0,0.80831,0.978834,0.3,0.5,0.7989,GDSF,0.9788,GDSF,-0.011778695706596468,-3.473641193295718e-05,12
ab_alibabaBlock_989.cachesim,alibabaBlock_989,alibabaBlock,2.0,0.807468,0.979937,0.3,0.9,0.8121,GDSF,0.9801,ARC,0.005703731067602611,0.00016630956024897892,12
ab_alibabaBlock_99.cachesim,alibabaBlock_99,alibabaBlock,305.0,0.615139,0.962844,159.4,152.7,0.6528,GDSF,0.9636,GDSF,0.05769148284313733,0.0007845579078455572,12
ab_alibabaBlock_990.cachesim,alibabaBlock_990,alibabaBlock,2.0,0.748167,0.967632,0.4,0.9,0.7448,ARC,0.967,ARC,-0.004520676691729335,-0.0006535677352637818,12
ab_alibabaBlock_991.cachesim,alibabaBlock_991,alibabaBlock,2.0,0.73946,0.963793,0.4,0.8,0.7265,ARC,0.9631,ARC,-0.0178389538885065,-0.0007195514484477777,12
ab_alibabaBlock_992.cachesim,alibabaBlock_992,alibabaBlock,2.0,0.852053,0.984508,0.3,0.9,0.8426,GDSF,0.9847,Cacheus,-0.011218846427723634,0.00019498324362747028,12
